accession	taxonomy	compound	bioactivities	genome_accession	location_start	location_end
BGC0002404	Solanum lycopersicum	falcarindiol	antiinflammatory, antibacterial	GPC_000003970.1	68007493	68031028
BGC0002405	Solanum lycopersicum	mid-chain acyl sugars		GPC_000003965.1	57739270	57782130
BGC0002406	Oryza sativa Japonica Group	hydroxycinnamoyltyramine		AP014966.1	12067616	12262361
BGC0002407	Streptomyces angustmyceticus	angustmycin A		BLAG01000004.1	872452	878589
BGC0002408	Collimonas pratensis	malleobactin X		WXXL01000019.1	22045	53320
BGC0002409	Frankia sp. CH37	frankobactin A1		JADBID010000001.1	1401852	1443553
BGC0002410	Frankia sp. CH37	frankobactin A1		JADBID010000001.1	4759675	4779517
BGC0002411	Rivularia sp. PCC 7116	cyanochelin A	siderophore	CP003549.1	7774831	7819129
BGC0002412	Photobacterium galatheae	holomycin		JMIB01000043.1	78725	91151
BGC0002413	Yersinia frederiksenii ATCC 33641	frederiksenibactin		KN150731.1	1728403	1750739
BGC0002414	Dickeya chrysanthemi	trichrysobactin		JAFCAF010000006.1	24998	48229
BGC0002415	Vibrio campbellii	vanchrobactin		CP030789.1	1592806	1607403
BGC0002416	Variovorax paradoxus	variobactin A		KT362218.1	0	0
BGC0002417	Variovorax paradoxus B4	variochelin A		CP003911.1	4072277	4110613
BGC0002418	Alcanivorax pacificus W11-5	pacifibactin		CP004387.1	1155682	1214287
BGC0002419	Acidovorax citrulli AAC00-1	acidobactin A		CP000512.1	4108803	4146830
BGC0002420	Variovorax paradoxus S110	vacidobactin A		CP001635.1	3932878	3970005
BGC0002421	Paraburkholderia xenovorans LB400	malleobactin LB400		CP000271.1	2775057	2806348
BGC0002422	Pseudomonas thivervalensis	histicorrugatin		LT629691.1	1634212	1678052
BGC0002423	Burkholderia gladioli	arsinothricin		JAGSIB010000059.1	15759	20095
BGC0002424	Saccharothrix sp.	saccharochelin A		MW298647.1	0	0
BGC0002425	Streptomyces sp.	stlassin		MZ182273.1	0	0
BGC0002426	Streptomyces sp.	deschlorosvetamycin A		MW810086.1	0	0
BGC0002427	Metarhizium robertsii ARSEF 23	subglutinol A		ADNJ02000014.1	52987	74527
BGC0002428	Fusarium graminearum PH-1	FDDP-D		CM000575.1	3540337	3541873
BGC0002429	Colletotrichum higginsianum IMI 349063	higginsianin B	inhibitor, signalling	CM004458.1	408595	480233
BGC0002430	Streptomyces kanamyceticus	gausemycin A		MZ394730.1	0	0
BGC0002431	Actinomadura sp.	maduramicin		MN272733.1	1	121610
BGC0002432	Brevibacillus laterosporus LMG 15441	laterocidine		CP007806.1	2818182	2905910
BGC0002433	Azotobacter vinelandii DJ	azotobactin D		CP001157.1	2560619	2622439
BGC0002434	Kitasatospora sp.	clifednamide D		MT419890.1	0	0
BGC0002435	Micromonospora haikouensis	coformycin		FMCW01000024.1	49762	74294
BGC0002436	Streptomyces citricolor	coformycin		KY313601.1	0	0
BGC0002438	Pithomyces chartarum	sporidesmin A		MT353658.1	1	51164
BGC0002439	Streptomyces diastaticus	diastaphenazine	antibacterial, cytotoxic	MK685983.1	1	24052
BGC0002440	Streptomyces sp.	longicatenamide B	antibacterial	MW560484.1	1	50466
BGC0002441	Streptomyces sp. SANK 60404	(2E,4E,6E,8E)-N-(2-hydroxy-5-oxocyclopent-1-en-1-yl)-9-(o-tolyl)nona-2,4,6,8-tetraenamide		LC595634.1	1	28832
BGC0002442	Bacillus toyonensis	toyoncin	antibacterial	MT795152.1	1	8391
BGC0002443	Streptomyces olivaceus	mycemycin C		MG837055.1	1	32300
BGC0002445	Armillaria gallica	armillyl orsellinate	antifungal, antibacterial	MT277003.1	1	45006
BGC0002446	Streptomyces sp.	ionostatin		MT571494.1	1	101096
BGC0002447	Bacillus cereus	cerecyclin	antibacterial	MH037333.1	1	8196
BGC0002448	Streptomyces violaceusniger	Q6402A		LC535008.1	1	59505
BGC0002449	uncultured bacterium	sarasinoside		MT026193.1	1	14377
BGC0002450	uncultured bacterium	sarasinoside		MT026194.1	1	14982
BGC0002451	Streptomyces sp.	inthomycin B		MN624145.1	16798	82186
BGC0002452	Streptomyces kitasatoensis	leucomycin		LC496468.1	0	0
BGC0002453	Streptomyces seoulensis	ansaseomycin A		MK599163.1	1	76762
BGC0002454	Streptomyces sp. NRRL S-4	venturicidin D		MT361594.1	1	97575
BGC0002455	Burkholderia gladioli	lagriene	antibacterial	LT797838.1	1	129213
BGC0002456	Streptomyces sp. NBRC 109436	alchivemycin A	antibacterial, antiproliferative	MW490597.1	1	120445
BGC0002458	Streptacidiphilus griseoplanus	alazopeptin		LC593326.1	3180	8262
BGC0002459	Bipolaris sorokiniana	preterpestacin I		MN642086.1	1	44425
BGC0002460	Nocardiopsis flavescens	loonamycin A		MT371051.1	4913	40693
BGC0002461	Streptomyces aureus	aureonuclemycin		MH025886.1	7927	54031
BGC0002462	Streptomyces kaniharaensis	coformycin	cytotoxic, inhibitor	MK830994.1	344	7060
BGC0002463	Staphylococcus aureus subsp. aureus NCTC 8325	staphyloferrin B		LS483365.1	75998	90444
BGC0002464	Bordetella pertussis Tohama I	alcaligin		NZ_CP039022.1	2597771	2608341
BGC0002465	Alcanivorax borkumensis SK2	amphibactin E		AM286690.1	2377165	2399998
BGC0002466	Streptomyces peucetius subsp. caesius ATCC 27952	peucechelin		CP022438.1	816396	853949
BGC0002467	Thermocrispum agreste DSM 44070	thermochelin	siderophore	NZ_KE386603.1	303612	334587
BGC0002468	Vibrio anguillarum 775	anguibactin		AY312585.1	1	24259
BGC0002469	Shewanella woodyi ATCC 51908	woodybactin A		CP000961.1	825672	832044
BGC0002470	Synechococcus sp. PCC 7002	synechobactin C9		CP000957.1	2711	33822
BGC0002471	Acinetobacter baumannii AYE	baumannoferrin A	siderophore	CU459141.1	2048827	2064050
BGC0002472	Brevibacillus brevis	ulbactin F		NZ_BDFB01000007.1	356897	379176
BGC0002473	Acinetobacter bouvetii DSM 14964 = CIP 107468	propanochelin		NZ_KB892261.1	30960	41799
BGC0002474	Agrobacterium tumefaciens	agrobactin		AB083344.2	0	0
BGC0002475	Pseudomonas protegens	enantio-pyochelin		EU088199.1	0	0
BGC0002476	Escherichia coli str. K-12 substr. MG1655	enterobactin		U00096.3	619384	629713
BGC0002477	Streptomyces sp. CB00072	thioangucycline A		LIPB01000001.1	1870363	1894318
BGC0002478	Streptomyces sp. CB02414	rubiginone A2		LIPF01000008.1	189575	230252
BGC0002479	Streptomyces miharaensis	miharamycin B		MN850873.1	1	43827
BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D		JACJUZ010000001.1	181000	197519
BGC0002481	Scytonema sp. UIC 10036	scytodecamide		MN265868.1	1	11832
BGC0002482	Symphyonema bifilamentata 97.28	tjipanazole D		MT078730.1	1	58972
BGC0002483	Cladonia uncialis subsp. uncialis	usnic acid		MG777490.1	2783	50732
BGC0002484	Scytonema hofmannii PCC 7110	scytocyclamide A	antifungal	KQ976354.1	3716086	3812822
BGC0002485	Desmonostoc sp. PCC 7906	muscoride A		MK806443.1	1	14448
BGC0002487	Staphylococcus aureus subsp. aureus Mu50	staphylopine		BA000017.4	2598076	2607334
BGC0002488	Paenibacillus mucilaginosus KNP414	bacillopaline		CP002869.1	1977285	1986533
BGC0002489	Pseudomonas aeruginosa PAO1	pseudopaline		AE004091.2	5424761	5429842
BGC0002490	Yersinia pestis CO92	yersinopine		AL590842.1	1507268	1513232
BGC0002491	Pseudoalteromonas piscicida	myxochelin B		JXXW01000072.1	1877	18906
BGC0002492	Myxococcus xanthus DK 1622	myxochelin B		CP000113.1	4337073	4350875
BGC0002493	Paracoccus denitrificans PD1222	parabactin		CP000489.1	2379882	2385957
BGC0002494	Vibrio cholerae	vibriobactin		U52150.2	0	0
BGC0002495	Photorhabdus luminescens	photobactin		AY042783.1	1107	20777
BGC0002496	Serratia plymuthica	serratiochelin A		CP007439.1	1526193	1541283
BGC0002497	Streptomyces sp.	hexacosalactone A		MT994316.1	1	131383
BGC0002498	Streptomyces sp.	desulfoclethramycin		MT994315.1	1	200565
BGC0002499	Streptomyces achromogenes subsp. streptozoticus	enteromycin		MW367897.1	1	24026
BGC0002500	Streptomyces pactum	NFAT-133		MW026651.1	1	62503
BGC0002501	Penicillium steckii	penigainamide A		MT489695.1	1	53110
BGC0002502	Fusarium fujikuroi	fumonisin B3		HQ622717.1	1	50387
BGC0002503	Chitinimonas sp.	chitinimide B		MW160162.1	1	46474
BGC0002504	Nocardiopsis sp.	nocardiopsistin A		MT633092.1	1	26000
BGC0002505	Xenoacremonium sp. BF-2018a	xenoacremone A	antitumor	MT876600.1	1	25320
BGC0002506	Streptomyces sp. FXJ8.102	homopiloquinone		MN158712.1	1	23837
BGC0002507	Chrysosporium merdarium	sporandol		MN832834.1	1	18330
BGC0002508	Streptomyces pathocidini	8-azaguanine		MT543149.1	1	11423
BGC0002509	Streptomyces sp.	montamide A		MN817126.1	1	22084
BGC0002510	Streptomyces sp.	youssoufene A1		MT459140.1	71	11851
BGC0002511	Cladonia macilenta KoLRI003786	biruloquinone		KE598559.1	574147	593574
BGC0002512	Brasilonema sp. CT11	anabaenopeptin 788		MT670293.1	1	24923
BGC0002513	Cladonia metacorallifera KoLRI002260	6-methylcristazarin		KI911112.1	100436	126827
BGC0002514	Streptomyces sampsonii	julichrome Q6.6		MT799798.1	1	16028
BGC0002515	Ascochyta rabiei	solanapyrone A		RYYQ01000008.1	1865569	1897908
BGC0002516	Fusarium neocosmosporiellum	prephenalenone		SSHR01000379.1	4063	29207
BGC0002517	Streptomyces sp.	tripartilactam	inhibitor	MN305323.1	1	73855
BGC0002518	Pseudomonas sp. SZ57	syringafactin A		WIBD01000002.1	152549	163109
BGC0002519	Aspergillus fumigatus	20-epoxy-18-oxotryprostatin A		MT424560.1	1	23264
BGC0002520	Micromonospora sp.	quinolidomicin A	cytotoxic	LC572270.1	1	231984
BGC0002521	Pseudomonas putida	putisolvin III		MT511054.1	1	47772
BGC0002522	Pseudomonas sp.	viscosinamide A		MT577358.1	1	38612
BGC0002523	Streptomyces nobilis	desertomycin B		LC529898.1	1	181146
BGC0002524	Bacillus sp. Xin1	bacicyclicin XIN-1	anti-Gram-positive, anti-Gram-negative	MT588114.1	1	5092
BGC0002525	Fusarium sp.	fusarubin		LC516401.1	1	24500
BGC0002526	Streptomyces sp.	K-41A	antibacterial, antimalarial, antiviral	MT318810.1	1	115748
BGC0002527	Azotobacter vinelandii CA	vibrioferrin	siderophore	CP005094.1	876779	886792
BGC0002528	Azotobacter vinelandii CA	aminochelin	siderophore	CP005094.1	2108873	2121364
BGC0002529	Azotobacter vinelandii CA	aminochelin		CP005094.1	910020	925603
BGC0002530	Brucella abortus 2308	brucebactin		AM040265.1	1141940	1146657
BGC0002531	Burkholderia ambifaria AMMD	cepaciachelin		CP000440.1	1678058	1694908
BGC0002532	Anabaena cylindrica PCC 7122	anachelin	siderophore	AP018166.1	1611460	1657011
BGC0002533	Photobacterium damselae subsp. piscicida DI21	piscibactin	siderophore	KP100338.1	6411	41636
BGC0002534	Streptomyces gandocaensis	cahuitamycin A		KU363800.1	0	0
BGC0002535	Streptomyces celluloflavus	γ-poly-L-2,4-diaminobutyric acid		LC537598.1	1	15242
BGC0002536	Kitasatospora azatica KCTC 9699	alazopeptin	antiprotozoal, cytotoxic, anti-Gram-positive, antitumor	NZ_JQMO01000003.1	5172055	5199249
BGC0002537	Aspergillus sp.	emeridone F	cytotoxic	LC537469.1	1	26816
BGC0002538	Chaetomium olivaceum	chaetolivacine A	anti-Gram-positive	MN432487.1	1	17732
BGC0002539	Discosia rubi	Chaetoglobosin P	antifungal	MT459796.1	1	37406
BGC0002540	Streptomyces hygrospinosus subsp. beijingensis	tetramycin B	antifungal, antibacterial, antibacterial	MN604040.1	1	108563
BGC0002541	Streptomyces sp.	notonesomycin A	antibacterial, antifungal, cytotoxic	MN586816.1	1	153208
BGC0002542	Moorena bouillonii bAprat14	apratoxin A	cytotoxic	MG890637.1	0	0
BGC0002543	Phialomyces arenicola	acrophiarin	antifungal	MN518690.1	1	66625
BGC0002544	Amycolatopsis methanolica	amychelin A		MT001874.1	1	39399
BGC0002545	Micromonospora sp.	sungeidine C		MN296090.1	1	57787
BGC0002546	Chaetomium globosum	cytoglobosin X		MN367318.1	1	37704
BGC0002547	Streptomyces youssoufiensis	youssoufene A1		MN844187.1	1	20186
BGC0002548	Pseudomonas sp.	bananamide F	antifungal, antioomycete	MN480426.1	1	34614
BGC0002549	Parmelia sp. 050094	salazinic acid		JAEUBB010000008.1	261687	288337
BGC0002550	Streptomyces olivaceus	lobophorin CR4		MN396889.1	1	102694
BGC0002551	Nostoc sp. UHCC-0398	muscoride A		MK806444.1	1	13360
BGC0002552	Amycolatopsis sp. CP2808	ansacarbamitocin		MK934297.1	1	82440
BGC0002553	Rathayibacter iranicus	tunicamycin	antiviral, antibacterial, antifungal, cytotoxic	MH813486.1	1	14110
BGC0002554	Streptomyces exfoliatus	carquinostatin A		LC406090.1	1	7849
BGC0002555	Acremonium sp.	emerimicin V	antibacterial, cytotoxic	MT050462.1	1	64157
BGC0002556	Streptomyces sp.	cervinomycin B3		MK410434.1	1	42471
BGC0002557	Penicillium griseofulvum	penifulvin A		MK692947.1	807	15633
BGC0002558	Streptomyces sp.	scopranone A		LC495479.1	1	54389
BGC0002559	Streptomyces hygroscopicus	lenoremycin		MN071207.1	0	0
BGC0002560	Streptomyces sp. NRRL S-4	thiostreptamide S4	cytotoxic	LGKJ01000112.1	86914	98680
BGC0002561	Streptomyces sp.	phenazine SA		MH990330.1	4070	22016
BGC0002562	Nocardia sp. CS682	tetrahydroxynaphthalene		MK153302.1	1	13564
BGC0002563	Paraburkholderia caledonica	gramibactin B		CP024905.1	2376667	2418959
BGC0002564	Paraburkholderia megapolitana	megapolibactin Acyc		CP041745.1	901250	941056
BGC0002565	Burkholderia plantarii	plantaribactin		CP002581.1	2124675	2170130
BGC0002567	Streptomyces sp. MA5143a	EDHA	siderophore	OLMK01000008.1	45415	56279
BGC0002568	Streptomyces scabiei 87.22	Ethylenediaminesuccinic acid hydroxyarginine		FN554889.1	589747	600784
BGC0002569	Burkholderia cenocepacia J2315	ornibactin C8		AM747720.1	1846454	1876827
BGC0002570	Pseudomonas syringae pv. tomato str. DC3000	yersiniabactin		AE016853.1	2868541	2897461
BGC0002571	Pseudomonas syringae pv. tomato str. DC3000	pyoverdine DC3000		NC_004578.1	4022817	4090447
BGC0002572	Nostoc sp. UHCC 0702	heinamide A1		CP071065.1	3593724	3685135
BGC0002573	Streptomyces mozunensis	phosphoramidon		MK644118.1	1	7021
BGC0002574	Catharanthus roseus	5-epi-jinkoheremol	antifungal	JQHZ01072270.1	45424	77541
BGC0002575	Streptococcus suis	cochonodin I		FIHN01000001.1	217411	226238
BGC0002576	Thermoactinomyces sp.	mechercharmycin		MT776333.1	1	3141
BGC0002577	Lactococcus lactis	lactococcin G		FJ938036.1	1	4918
BGC0002578	Streptomyces venezuelae ATCC 10712	gaburedin A		FR845719.1	4521431	4531575
BGC0002579	Carnobacterium maltaromaticum	carnobacteriocin XY		L47121.1	1776	9525
BGC0002580	Lactococcus cremoris	lactococcin MN		MN231270.1	1	1782
BGC0002581	Streptomyces sp.	bosamycin A		MN509472.2	5861	42927
BGC0002582	Streptomyces chrestomyceticus	guanipiperazine A		MW051641.1	1	7207
BGC0002583	Streptococcus mutans UA159	tryglysin B		AE014133.2	1430750	1435010
BGC0002584	Streptomyces sp. FXJ1.264	azolemycin B		KT336319.1	1	13427
BGC0002586	Lactiplantibacillus plantarum	ASM1		KU896918.1	1	11905
BGC0002587	Streptomyces ossamyceticus	ossamycin		MH763624.1	1	112926
BGC0002588	uncultured bacterium	enduracididine		MN161664.1	1	48761
BGC0002589	Cystobacter sp. SBCb004	argyrin F		MK047651.1	1	33648
BGC0002590	Streptomyces sp. CS147	colibromycin A		KZ819182.1	4724124	4779057
BGC0002591	Streptomyces sp.	aurachin C		KY810820.1	1	20232
BGC0002592	Aspergillus terreus NIH2624	geodin		CH476605.1	1290054	1314979
BGC0002593	Pseudevernia furfuracea	lecanoric acid		NKYQ01000004.1	1336945	1348918
BGC0002594	Fusarium graminearum PH-1	orcinol		CM000575.1	5522657	5554323
BGC0002595	Taiwanofungus camphoratus	orsellinic acid		JNBV01000031.1	64805	71593
BGC0002596	Claviceps purpurea 20.1	lecanoric acid		CAGA01000059.1	98653	131937
BGC0002597	Nodularia sp. LEGE 06071	Nocuolactylate A	anticancer, anti-Gram-negative, anti-Gram-positive	MW071172.1	1	36795
BGC0002598	Aspergillus westerdijkiae	ochratoxin A		MW526246.1	1	27735
BGC0002599	Aspergillus fumigatus	fumigaclavine		MT424562.1	1	23000
BGC0002600	Aspergillus fumigatus	helvolic acid		MT424561.1	1	17000
BGC0002601	Aspergillus fumigatus	fumagillin		MT424563.1	1	58000
BGC0002602	Aspergillus flavus	aspergillic acid		MH898736.1	1	15136
BGC0002603	Aspergillus versicolor	chevalone E	antibacterial	LC422695.1	817	17858
BGC0002604	Aspergillus felis	sartorypyrone A	antibacterial	LC428283.1	1835	19731
BGC0002605	Aspergillus carbonarius	ochratoxin A		MG701890.1	1	21508
BGC0002606	Aspergillus niger	ochratoxin A		MG701892.1	1	21662
BGC0002607	Aspergillus westerdijkiae	ochratoxin A		MG701896.1	1	24204
BGC0002608	Aspergillus steynii	ochratoxin A		MG701897.1	1	23671
BGC0002609	Aspergillus welwitschiae	ochratoxin A		KX267735.1	1	18619
BGC0002610	Aspergillus stellatus	stellatic acid		LC073704.1	101	6568
BGC0002611	Aspergillus mulundensis	mulundocandin	antifungal	KP742486.1	1	57000
BGC0002612	Aspergillus stellatus	anditomin		AB981314.1	101	31032
BGC0002613	Vibrio neptunius	piscibactin	siderophore	JAFHLB010000021.1	42581	74740
BGC0002614	Penicillium shearii	subglutinol A		LC600199.1	1	33840
BGC0002615	Penicillium terrestre	4-oxomacrophorin A		MH388470.1	1	24396
BGC0002616	Penicillium roqueforti	mycophenolic acid		KU234531.1	1	23320
BGC0002617	Penicillium sp. YT-2016	psychrophilin D		KU695586.1	1	17174
BGC0002618	Penicillium crustosum	penitrem A	antiproliferative	KC963408.1	1	66022
BGC0002619	Penicillium brevicompactum	mycophenolic acid	immunosuppressive, anticancer	KM595305.1	2369	44516
BGC0002620	Fulvivirga marina	fulvivirgamide A2	siderophore, cytotoxic	MN737574.1	0	0
BGC0002621	Streptomyces angustmyceticus	angustmycin A	anti-Gram-positive, inhibitor	MZ151497.1	1	9218
BGC0002622	Oryza sativa Japonica Group	hydroxycinnamoylputrescine		AP014965.1	21409013	21465464
BGC0002623	Microcystis aeruginosa LEGE 91341	microginin 755		JADEXY010000051.1	1533	26543
BGC0002625	Desmonostoc muscorum LEGE 12446	desmamide A	antibacterial	JADEXS020000001.1	7046147	7109291
BGC0002626	Nostoc sp. TH1S01	microviridin 1688		JAGKSW010000123.1	52927	58912
BGC0002627	Kamptonema sp. PCC 6506	kamptornamide		CACA01000374.1	17114	23279
BGC0002628	Aquimarina sp. Aq135	aquimarin A		CAKLCA010000002.1	1671064	1727828
BGC0002629	Limnothrix sp. CACIAM 69d	limnothamide		MKGP02000097.1	11128	17958
BGC0002630	Lysobacter antibioticus	Thatisin	other, anti-Gram-negative, anti-Gram-positive	CP011129.1	910426	914716
BGC0002631	Pyxidicoccus fallax	Myxarylin	antibacterial	OL539738.1	1	3091
BGC0002632	Nostoc sp. UHCC 0870	Varlaxin 1046A		CP091913.1	3254779	3292652
BGC0002633	Leptolyngbya sp. PCC 7376	schizokinen	siderophore	CP003946.1	4615604	4627177
BGC0002634	Streptomyces parvus	vicenistatin		OL310481.1	1	67619
BGC0002635	Actinokineospora diospyrosa	daspyromycin A		MW686201.1	1	6932
BGC0002637	Streptomyces sp. WAC 06783	rimomycin A	antibacterial, inhibitor	QHJP01000004.1	67545	143104
BGC0002638	Streptomyces sp. WAC 00631	misaugamycin A	antibacterial, inhibitor	QHKJ02000004.1	604269	677424
BGC0002639	Lactobacillus iners LEAF 2052A-d	phospho-tyrolose		AEKI01000023.1	97423	105963
BGC0002640	Thalassomonas actiniarum	thalassomonasin A		JYNI01000001.1	221557	226277
BGC0002641	Bacillus velezensis FZB42	bacillothiazol A		CP000560.2	2868415	2887865
BGC0002642	Streptomyces cattleya NRRL 8057 = DSM 46488	clipibycyclene		CP003219.1	6178796	6236650
BGC0002643	Aetokthonos hydrillicola Thurmond2011	aetokthonotoxin	neurotoxic, anthelmintic	MT225528.1	1	9229
BGC0002644	Chondria armata	domoic acid	neurotoxic	OK169902.1	0	7903
BGC0002645	Pseudomonas aeruginosa PAO1	fluopsin C	antibacterial	AE004091.2	3930743	3936837
BGC0002646	Aspergillus hancockii	hancockinone A	antibacterial	MBFL02000005.1	111467	130314
BGC0002648	Shewanella sp. N2AIL	eicosapentaenoic acid	antibacterial	JALBYT010000001.1	248882	269368
BGC0002649	Amycolatopsis sp. EV170708-02-1	nocamycin V		CP092497.1	234499	296757
BGC0002650	Streptomyces sp. ATCC 21386	aurodox		JAAVVL010000001.1	4233864	4318177
BGC0002651	Rosellinia necatrix	sordaricin B		DF977497.1	11097	27954
BGC0002652	Streptomyces sp. SHP22-7	cytosaminomycin F		QXMM01000010.1	147231	181520
BGC0002653	Paenibacillus xylanexedens	macolacin	anti-Gram-negative	CP018620.1	6844097	6885079
BGC0002654	uncultured bacterium	lapcin	anticancer, DNA-interfering	MZ165589.1	1	49405
BGC0002655	Paramyrothecium roridum	halovir I		PXOD01000028.1	3488	44354
BGC0002656	Streptacidiphilus oryzae TH49	oryzanaphthopyran A		NZ_JQMQ01000004.1	13833	46675
BGC0002657	Streptomyces spectabilis	deoxyhangtaimycin		CP023690.1	8843425	8924101
BGC0002658	Sarocladium oryzae	M-deoxyakanthomycin		BCHE01000001.1	1898103	1933000
BGC0002659	Halomonas anticariensis FP35 = DSM 16096	TvgA-RiPP		KE332391.1	113291	116877
BGC0002660	Chitinophaga eiseniae	pentacitidin A		FUWZ01000001.1	2193918	2217539
BGC0002661	Streptomyces tasikensis	tasikamide A		MZ964597.1	1	34057
BGC0002662	Lentzea flaviverrucosa	petrichorin A	cytotoxic	QQAU01000001.1	18792	83330
BGC0002663	Bacillus amyloliquefaciens UMAF6639	amyloliquecidin GF610		CP006058.1	2822511	2838784
BGC0002664	Xylaria sp. 218_066	xylaroamide A		JADKYC010000066.1	16116	83405
BGC0002665	Pseudomonas syringae pv. maculicola str. ES4326	3-thiaglutamate		CP047260.1	1675130	1686044
BGC0002666	Streptomyces sp. MA37	Legonmycin A		KM514925.1	1	38533
BGC0002667	Clostridium estertheticum	estericin A		JAIFTG010000008.1	165839	195619
BGC0002668	Clostridium estertheticum	cesin A		JAIFTG010000035.1	1	12751
BGC0002669	Streptomyces sp. NRRL S-87	TVA-YJ-2		NZ_JOGB01000003.1	260197	303140
BGC0002670	Fusarium oxysporum f. sp. lycopersici 4287	fosfonochlorin		CM000596.1	28846	56875
BGC0002671	Verrucosispora sp.	kendomycin B	antibacterial, cytotoxic	MZ222135.1	1	79937
BGC0002672	Saccharothrix sp.	saccharothrixin D		MW386996.1	0	0
BGC0002673	Streptomyces griseus subsp. griseus NBRC 13350	iminimycin A	cytotoxic, antibacterial	AP009493.1	7575285	7636690
BGC0002674	Enterococcus faecalis	enterocin F4-9	antibacterial	LC029806.1	1	4772
BGC0002675	Pseudoalteromonas rubra	prodigiosin	pigment, antibacterial, anti-Gram-negative, anti-Gram-positive	CP045429.1	3210799	3231052
BGC0002676	Streptomyces anulatus	skyllamycin D		CP080029.1	4360500	4484678
BGC0002677	Nostoc punctiforme PCC 73102	nostoclide N1		CP001037.1	2516525	2556578
BGC0002678	Burkholderia cepacia ATCC 25416	pyochelin		CP012982.1	2369503	2394756
BGC0002679	Chromobacterium violaceum ATCC 12472	chromobactin		AE016825.1	1579729	1593884
BGC0002680	Chromobacterium violaceum ATCC 12472	viobactin	siderophore	AE016825.1	2407021	2431813
BGC0002681	Francisella tularensis subsp. tularensis SCHU S4	rhizoferrin	siderophore	AJ749949.2	22630	30951
BGC0002682	Vibrio mimicus	aerobactin	siderophore	AB110784.1	1	12158
BGC0002683	Nostoc sp. PCC 7120 = FACHB-418	schizokinen	siderophore	BA000019.2	452145	466155
BGC0002684	Pseudonocardia sp. ICBG1293	attinimicin		JAHLEL010000047.1	400893	429007
BGC0002685	Rothia mucilaginosa ATCC 25296	enterobactin	siderophore, anticancer, antibacterial	ACVO01000001.1	21927	38323
BGC0002686	Actinomadura sp. WMMA1423	madurastatin D1	siderophore, antibacterial	NZ_CP041244.1	793880	907542
BGC0002687	Massilia sp. NR 4-1	Massiliachelin	siderophore	CP012201.1	520630	554534
BGC0002688	Planobispora rosea	benarthin		NZ_JPMW01000001.1	6441902	6461884
BGC0002689	Stenotrophomonas maltophilia K279a	2,3-dihydroxybenzoylserine	siderophore	AM743169.1	2850116	2873266
BGC0002690	Verrucosispora sp. FIM060022	FW0622	siderophore	RQIV01000011.1	127607	139415
BGC0002691	Vibrio neptunius	amphibactin B	siderophore	JXXU01000001.1	197700	223000
BGC0002692	Kribbella speibonae	speibonoxamine	siderophore	SJJY01000002.1	1414402	1426027
BGC0002693	Pseudomonas sp. SXM-1	pyoverdine SXM-1		CP038001.1	4908251	4974913
BGC0002694	Phaeobacter inhibens 2.10	roseobactin	siderophore	CP002974.1	58312	75081
BGC0002695	Bacillus sp. WMMC1349	bacillibactin	siderophore, antibacterial, antifungal	JABJUQ010000007.1	3416007	3432131
BGC0002696	Rhodococcus erythropolis	heterobactin B		LQWU01000088.1	166522	189047
BGC0002697	Streptomyces cattleya NRRL 8057 = DSM 46488	clipibicyclene	antibacterial	CP003219.1	3428542	3470332
BGC0002698	Pseudophaeobacter arcticus DSM 23566	phaeornamide		NZ_KI421507.1	626503	639333
BGC0002699	Nostoc punctiforme PCC 73102	nostolysamide A		CP001038.1	94655	107223
BGC0002700	Bacillus nakamurai	bacinapeptin		LSBA01000008.1	16966	22797
BGC0002701	Paenibacillus thiaminolyticus	paenithipeptin		NZ_NDGK01000036.1	563667	573643
BGC0002702	Streptomyces sp. WAC 06738	GP6738	antibacterial, inhibitor	CP029618.1	7785350	7842803
BGC0002703	Halorussus salinus	archalan α	antibacterial	NZ_ML974127.1	1550022	1563049
BGC0002704	Halorussus salinus	archalan β		NZ_SBIS02000011.1	218712	226675
BGC0002705	Halorussus salinus	archalan γ		ML974127.1	1462774	1469467
BGC0002706	Myxococcus xanthus	saframycin Mx1	antibacterial	U24657.1	138	14016
BGC0002707	Coniophora puteana RWD-64-598 SS2	(+)-δ-cadinol		JH711575.1	411485	432806
BGC0002708	Coniophora puteana RWD-64-598 SS2	(+)-δ-cadinol	cytotoxic	JH711575.1	107662	109181
BGC0002709	Fusarium graminearum PH-1	aurofusarin	cytotoxic, antibacterial	CM000574.1	7509000	7538000
BGC0002710	Metarhizium robertsii ARSEF 23	metachelin C		ADNJ02000002.1	3775769	3809100
BGC0002711	Nostoc punctiforme PCC 73102	nostovalerolactone		CP001037.1	2506165	2515566
BGC0002712	Streptomyces yanglinensis	WS-5995 D		FNVU01000018.1	87408	114129
BGC0002713	Photorhabdus laumondii subsp. laumondii	mevalagmapeptide A		CP024901.1	1002026	1054633
BGC0002714	Photorhabdus laumondii subsp. laumondii	luminmycin A		CP024901.1	2202808	2257564
BGC0002715	Photorhabdus laumondii subsp. laumondii	HTTPCA		CP024901.1	2700417	2756939
BGC0002716	Photorhabdus laumondii subsp. laumondii	gamexpeptide A		CP024901.1	3846999	3900195
BGC0002717	Sphaerospermopsis torques-reginae ITEP-024	guanitoxin		CP080598.1	3534866	3547437
